id,PGA,PGV,PGD,NOMBRE_SIS,NOMBRE_SENSOR,N_SIS,DIRECCION,PATH_DIR_ORG,PATH_DIR_PROCES1,DT,N_POINTS_PROCES1,CORTE1,CORTE2,PATH_DIR_PROCES2,DT_PROCES2,N_POINTS_PROCES2
586,-81.51031,7.91033,-1.78112,Northridge,LA00078P,294,N00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00078P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/294_N00W.T1,0.02,2001,167,1960,Registros_Sismicos_Proces2/Northridge/294_N00W.T1,0.02,1793
587,116.7482,8.17419,1.56821,Northridge,LA00078P,294,N90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00078P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/294_N90W.T1,0.02,1995,167,1960,Registros_Sismicos_Proces2/Northridge/294_N90W.T1,0.02,1793
588,-155.6945,9.69278,-2.10629,Northridge,LA00079P,295,S00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00079P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/295_S00E.T1,0.02,2099,261,2028,Registros_Sismicos_Proces2/Northridge/295_S00E.T1,0.02,1767
589,139.4033,-9.17267,1.3664,Northridge,LA00079P,295,S90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00079P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/295_S90E.T1,0.02,2104,261,2028,Registros_Sismicos_Proces2/Northridge/295_S90E.T1,0.02,1767
590,85.00561,-8.43109,2.25338,Northridge,LA00081P,296,S90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00081P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/296_S90W.T1,0.02,2430,103,2269,Registros_Sismicos_Proces2/Northridge/296_S90W.T1,0.02,2166
591,85.17956,5.76851,1.26901,Northridge,LA00081P,296,S00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00081P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/296_S00W.T1,0.02,2430,103,2269,Registros_Sismicos_Proces2/Northridge/296_S00W.T1,0.02,2166
592,178.6667,-14.89084,-2.67079,Northridge,LA00082P,297,N30W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00082P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/297_N30W.T1,0.02,1996,21,1785,Registros_Sismicos_Proces2/Northridge/297_N30W.T1,0.02,1764
593,-145.1006,-15.02236,-1.38215,Northridge,LA00082P,297,S60W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00082P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/297_S60W.T1,0.02,1996,21,1785,Registros_Sismicos_Proces2/Northridge/297_S60W.T1,0.02,1764
594,-74.20249,-6.76005,-1.8345,Northridge,LA00083P,298,N70W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00083P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/298_N70W.T1,0.02,1846,98,1801,Registros_Sismicos_Proces2/Northridge/298_N70W.T1,0.02,1703
595,86.69112,5.4501,-1.86556,Northridge,LA00083P,298,S20W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00083P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/298_S20W.T1,0.02,1846,98,1801,Registros_Sismicos_Proces2/Northridge/298_S20W.T1,0.02,1703
596,-119.1087,-8.69203,-2.38328,Northridge,LA00084P,299,N90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00084P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/299_N90E.T1,0.02,1770,29,1668,Registros_Sismicos_Proces2/Northridge/299_N90E.T1,0.02,1639
597,129.2092,-10.112,-1.88475,Northridge,LA00084P,299,N00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00084P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/299_N00E.T1,0.02,1772,29,1668,Registros_Sismicos_Proces2/Northridge/299_N00E.T1,0.02,1639
598,101.4273,9.01628,-2.11161,Northridge,LA00085P,300,N00W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00085P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/300_N00W.T1,0.02,1880,225,1858,Registros_Sismicos_Proces2/Northridge/300_N00W.T1,0.02,1633
599,-103.1779,-9.02306,-2.80622,Northridge,LA00085P,300,N90W,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00085P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/300_N90W.T1,0.02,1879,225,1858,Registros_Sismicos_Proces2/Northridge/300_N90W.T1,0.02,1633
600,91.94951,-8.19387,1.78545,Northridge,LA00086P,301,S00E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00086P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/301_S00E.T1,0.02,2032,146,1973,Registros_Sismicos_Proces2/Northridge/301_S00E.T1,0.02,1827
601,-146.5398,-10.30931,1.75702,Northridge,LA00086P,301,S90E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00086P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/301_S90E.T1,0.02,2033,146,1973,Registros_Sismicos_Proces2/Northridge/301_S90E.T1,0.02,1827
602,95.2859,6.3546,-0.7783899999999999,Northridge,LA00087P,302,N20E,Registros_Sismicos_Original/Northridge/Northridge_17Jan1994_LA00087P/USACA74.P2,Registros_Sismicos_Proces1/Northridge/302_N20E.T1,0.02,2336,160,2137,Registros_Sismicos_Proces2/Northridge/302_N20E.T1,0.02,1977
